question_num,type,utterance,page,targetValue,csv_file
6428,3,what is the number of times the title reign was longer than 3 years?,107,9,203
8156,3,what country does the least amount of successful defenses come from?,107,Denmark,203
10918,1,who is the only champion to reign for more than 10 years?,107,Joe Calzaghe,203
12886,3,what is the longest title reign after champion joe calzaghe?,107,"5 years, 5 months, 3 days",203
13244,3,how many champions had at least 10 title defenses?,107,4,203
231,1,what year did monaco ratify more international human rights treaties than they did in 1979?,109,1993,203
1113,3,which was the first treaty in morocco to be ratified?,109,Convention on the Prevention and Punishment of the Crime of Genocide,203
1818,3,"at most, how many international human rights treaties has monaco ratified in one year?",109,4,203
3204,3,how many total international human rights treaties from the united nations has monaco ratified?,109,13,203
6509,2,what is the only organization whose treaties morocco has signed?,109,United Nations,203
7339,2,how long did it take for the international covenant on civil and political rights to be signed before it was ratified?,109,11 years,203
7410,3,which was the first human rights treaty to be signed?,109,International Convention on the Elimination of All Forms of Racial Discrimination,203
10901,3,what is the last treaty morocco ratified?,109,International Convention for the Protection of All Persons from Enforced Disappearance,203
11047,3,how many treaties had been introduced by 1986?,109,9,203
12140,3,what is the earliest treaty signed by morocco?,109,International Convention on the Elimination of All Forms of Racial Discrimination,203
1045,1,what country won the most medals in shooting at the 1988 summer olympics?,113,Soviet Union,203
2512,3,which country was in the top of the 11 rank group?,113,Chile (CHI),203
3863,3,who were the top ranked countries in medal rank?,113,Soviet Union (URS)|Yugoslavia (YUG)|West Germany (FRG),203
4410,1,which of these countries is ranked first?,113,Soviet Union (URS),203
5027,1,who had more gold medals than the soviet union?,113,No one,203
8331,3,which of these countries was ranked next after yugoslavia?,113,West Germany (FRG),203
13922,1,which country earned the most gold medals?,113,Soviet Union (URS),203
9,1,which players played the same position as ardo kreek?,116,Siim Ennemuist|Andri Aganits,203
1283,3,kert toobal is the oldest who is the next oldest player listed?,116,Argo Meresaar,203
4750,3,which player is taller than andri agantis?,116,Oliver Venno,203
7134,1,how much taller in oliver venno than rait rikberg?,116,36,203
7730,3,who is at least 25 years or older?,116,Ardo Kreek|Kert Toobal|Martti Juhkami|Argo Meresaar|Rait Rikberg|Edgar Järvekülg|Jaanus Nõmmsalu,203
8659,3,how many players are middle blockers?,116,3,203
12017,3,how many members of estonia's men's national volleyball team were born in 1988?,116,2,203
12277,3,who is the tallest member of estonia's men's national volleyball team?,116,Oliver Venno,203
12544,3,what are the total number of players from france?,116,2,203
12925,3,how many players were born before 1988?,116,5,203
119,3,how many defensive (df) players are there on the national team?,121,4,203
742,3,"played on the same team as rune ""killing"" emanuelsson",121,"Gunnar ""Il Professore"" Gren",203
3831,3,how many people have no goals?,121,20,203
5754,3,what was the total number of goals scored by all of the national team players in the 1947/1948 season?,121,20,203
5867,3,which club had more midfield (mf) players on the national team: aik solna or ifk norrkoping?,121,AIK Solna,203
7235,3,who has the most goals plus caps?,121,Gunnar Nordahl,203
7865,2,how many goals did the malmö ff player(s) score?,121,1,203
9075,3,how many people have less than 3 caps?,121,15,203
4453,3,which opponent had the largest amount of points scored?,126,Florida State,203
5759,3,what was ohio states rank before playing michigan state?,126,#13,203
7035,3,who was the last opponent?,126,BYU,203
11523,3,how many games did ohio state win in this 1982 season?,126,9,203
11827,3,what was the score of the top game?,126,21-14,203
12937,1,who did ohio state play before indiana on october 23?,126,at #15 Illinois,203
13114,3,how many games were won?,126,9,203
13692,3,who was the opponent on the first game of the season?,126,Baylor*,203
13708,3,did ohio state win the game previous to the game against michigan state?,126,yes,203
1309,3,how many chevrolets finished in the top ten?,131,4,203
5413,3,the number of cars finishing in the top ten for braun racing.,131,2,203
6106,3,how many chevrolets were in the top 10?,131,4,203
7587,3,the percent of toyotas in the top ten.,131,30,203
8588,3,how many toyotas were there in the top 10 finishes?,131,3,203
8921,1,which driver earned 4th place?,131,Carl Edwards,203
9668,1,who placed first in the race?,131,Jason Leffler,203
11083,3,did scott wimmer place before or after carl edwards?,131,after,203
11189,3,who was the first driver to finish?,131,Jason Leffler,203
12909,1,did jason leffler race for braun racing or michael waltrip racing?,131,Braun Racing,203
757,3,"what is the total number of players who tied for fourth, seventh, and tenth combined?",134,8,203
1471,3,how many golfers shot at least 2 under par at the 2010 us open?,134,2,203
5652,3,who was the top player?,134,Dustin Johnson,203
5750,3,how many americans were in the top 10?,134,5,203
6769,3,what was the total number of players?,134,12,203
7388,3,how many golfers in the third round are from the united states?,134,5,203
8227,3,who had the least number of strokes at the 2010 us open?,134,Dustin Johnson,203
10163,3,how many players tied for fourth place?,134,2,203
10477,1,who was the only player to place 6th?,134,Phil Mickelson,203
11867,1,which golfers other than tim clark shot 3 over par at the 2010 us open?,134,Alex Cejka|Ryo Ishikawa,203
13930,3,how many golfers shot 4 over par at the 2010 us open?,134,3,203
14044,3,what player placed nest after dustin johnson?,134,Graeme McDowell,203
1861,3,what is the last school to be founded in the aac?,135,Savannah College of Art and Design at Atlanta,203
2266,2,what is the only conference school located in kentucky?,135,Union College,203
2780,3,how many institutions have at least 1000 listed for enrollment?,135,9,203
3695,1,which institution began with the most enrollment?,135,Savannah College of Art and Design at Atlanta,203
7177,3,which aac school has the most students?,135,Savannah College of Art and Design at Atlanta,203
7874,3,how many conference schools were founded before 1900?,135,6,203
9033,3,how many institutions were founded before 1950?,135,10,203
9990,2,which conference school was founded earlier: bryan college or montreat college?,135,Montreat College,203
10771,2,is union college located in tennesse or kentucky?,135,Kentucky,203
446,3,what is the highest number of goals podolski has scored in an international game?,138,10,203
2757,3,"who did lukas podolski's team face after thailand in december 21, 2004?",138,Slovenia,203
2871,2,how many times was liechtenstein the opponent?,138,2,203
4237,1,"where was the first ""friendly"" competition held?",138,"Rajamangala Stadium, Bangkok, Thailand",203
7071,2,what year was the only time china was the opponent?,138,2009,203
7119,3,what was the total number of goals that was scored against romania in 2007?,138,3,203
9741,3,what are the total number of non-friendly competitions?,138,22,203
9751,3,in what country were the most games held?,138,Germany,203
13902,3,how many competitions were not friendly?,138,22,203
1721,3,how many riders finished less than a minute out of first?,142,12,203
3149,1,in the 2007 phillip island superbike world championship round superbike race 1 classification who was in the top position?,142,Troy Bayliss,203
3262,3,in the 2007 phillip island superbike world championship round superbike race 1 classification how many riders scored at least 10 points?,142,6,203
3299,3,who rides a bike that is the same as troy bayliss' bike?,142,Lorenzo Lanzi,203
5279,1,did james toseland score more or less points than shinichi nakatomi?,142,more,203
7449,3,how many riders scored at least 9 points?,142,7,203
7470,3,did alex polita finish above or below lorenzo lanzi?,142,Below,203
11399,3,name 3 that scored more points than steve martin.,142,Troy Bayliss|James Toseland|Max Biaggi,203
12711,3,what is the number of non-retired riders?,142,18,203
12813,1,in the 2007 phillip island superbike world championship round superbike race 1 classification what was the point difference between position 1 and 2?,142,5,203
127,2,what is the name of the first club on this chart?,145,UE Lleida,203
204,3,how many teams had at least 15 wins?,145,8,203
1012,3,which team had the highest number of losses?,145,CE Sabadell FC,203
1755,3,what is the name of the next club after real betis?,145,Real Madrid B,203
3576,3,did any clubs have no losses?,145,no,203
7693,3,"what is the average number of ""goals for"" of the top 5 teams?",145,53.6,203
10079,3,what are the number of times 13 or greater was listed in the wins column?,145,12,203
11937,3,how many teams had less than 10 wins?,145,4,203
12176,3,how many clubs had a positive goal difference?,145,10,203
12367,1,which is the only team to have 9 wins?,145,Athletic de Bilbao B,203
13219,3,what team has the same amount of wins as sd compostela?,145,SD Eibar,203
297,2,jones won best actress in a play in 2005. which other award did she win that year?,146,Outstanding Actress in a Play,203
687,3,what award does cherry jones have the most of?,146,Drama Desk Awards,203
3328,3,which association awarded jones' first award after the year 2000?,146,GLAAD Media Awards,203
4692,3,what category was the last nomination?,146,"Best Supporting Actress - Series, Miniseries or Television Film",203
6391,3,total number of times she was nominated for 'best actress in a play' by the tony awards?,146,4,203
7862,3,how many total awards does cherry jones have?,146,7,203
8154,3,which movie was the first win?,146,The Heiress,203
9475,3,"when cherry jones won a primetime emmy for her work on 24, what was her previous award winning role?",146,Doubt,203
10626,3,how many awards did jones win in 2009?,146,1,203
854,3,how many subdivisions are there in camarines sur?,147,37,203
3240,3,what is the least populated municipality in camarines sur?,147,Gainza,203
3420,3,which city has the largest number of people in camarines sur?,147,Naga City,203
3499,3,what is the largest city/municipality by area?,147,Ragay,203
3820,3,who is the mayor with the least city area to govern over?,147,Marilou Marquez-Hirose,203
5059,3,how many barangays are there in sipocot?,147,46,203
5365,3,"how many cities in camarines sur have at least 50,000 people?",147,14,203
6015,3,how many total municipalities are there in camarines sur?,147,37,203
7403,3,what is the most populated city in camarines sur?,147,Naga City,203
8162,1,what is the only city to start with the letter r?,147,Ragay,203
9189,3,what is the number of mayors during 2010-2013 who were part of the 1st class?,147,8,203
12056,3,how many municipalities are in camarines sur?,147,35,203
1332,3,which submarine had the most tonnage?,148,San Tiburcio,203
1672,2,what two nationalities have a tonnage of around 1900 and both sunk?,148,United Kingdom|Estonia,203
2615,2,what was the soviet ship that did not sink on 11 may 1944?,148,Shtorm,203
2949,1,the flandria and the patria are ships that both fly under what country's flag?,148,Sweden,203
7671,3,"other than ""damaged"", how many vessels were reported lost between january 1, 1940 and may 11, 1940?",148,7,203
8242,1,"which submarine was from the uk and was almost at 2,000 in tonnage?",148,Tringa,203
10213,3,what was the top (most frequent) fate reported for losses?,148,Sunk,203
10437,3,what was the first vessel sunk in may 1940?,148,San Tiburcio,203
10450,3,what was the number of tonnage for sweden?,148,2367,203
14077,3,what nationality is on top of french navy?,148,United Kingdom,203
310,3,how many players named jeff were drafted?,149,2,203
639,3,who is the only player in the top 26 picks that was from louisiana state university?,149,Ben McDonald,203
1209,1,who is the only player from hamden?,149,Scott Burrell,203
2500,3,was kiki jones picked before or after greg gohr?,149,Before,203
2837,1,who was the top pick of the 1989 major league baseball draft?,149,Ben McDonald,203
8630,3,who was the last player selected in the first round of the 1989 major league baseball draft?,149,Scott Burrell,203
9876,1,who was the only draft pick from salem high school?,149,Jeff Juden,203
9931,3,"which was a higher round pick for rhp, the pick from the seattle mariners, baltimore orioles, los angeles dodgers, or the houston astros?",149,Baltimore Orioles,203
10273,3,how many pitchers were chosen in the first round of the 1989 major league baseball draft?,149,8,203
10298,2,steve hosey was picked above or below mo vaughn?,149,above,203
1994,3,in how many consecutive races did he get a 7th place finish?,150,3,203
4724,3,in what year did he first race?,150,2001,203
6409,3,what is nico rosberg's total number of wins throughout his career?,150,22,203
7440,3,how long has nico rosberg competed in the formula one series?,150,13 years,203
9059,3,how many times was the position listed as 1st?,150,3,203
9081,3,in how many races did he not place in the top 10?,150,7,203
11065,3,what was the highest position achieved in 2003?,150,8th,203
12431,3,how many times was 1st position achieved?,150,3,203
1397,3,who had the top score in the pga championship?,151,Bubba Watson,203
4265,3,how many total tournaments has he won?,151,10,203
6709,3,how many tournaments has he won by 3 or more strokes?,151,5,203
7045,3,how many winning scores were less than -14?,151,2,203
9346,3,how long separated the playoff victory at bmw international open and the 4 stroke victory at the klm open?,151,2 years,203
13414,3,how many more strokes were in the klm open than the barclays scottish open?,151,2 strokes,203
6555,2,what is the only province with population density under 30?,152,Pedernales,203
9348,3,which province has the most area?,152,San Juan,203
9755,3,which province in the dominican republic has the smallest area (in square kilometers)?,152,Distrito Nacional,203
11495,3,"how many provinces have populations higher than 300,000?",152,12,203
12148,1,"in the dominican republic, does the province of independencia or the province of barahona have a smaller population?",152,Independencia,203
12311,1,what is the difference between the area of san cristobal and puerto plata?,152,587.13,203
12328,3,what is the difference between the population of san juan and sanchez ramirez?,152,"68,486",203
12511,3,which province has less population density than independencia?,152,Pedernales,203
13634,3,which province in the dominican republic has the same density of people per square kilometer as san juan?,152,Santiago Rodríguez,203
